P_theta_norm	P_choose_bayes	P_choose_bayes_SE	Bayes_risk	Bayes_risk_SE	combined_risk	combined_risk_SE
0.00	1.00	0.00	13.26	0.06	13.26	0.06
0.91	1.00	0.00	13.47	0.06	13.47	0.06
1.82	1.00	0.00	14.10	0.06	14.10	0.06
2.73	1.00	0.00	15.13	0.06	15.13	0.06
3.64	1.00	0.00	16.58	0.07	16.58	0.07
4.55	1.00	0.00	18.45	0.07	18.50	0.08
5.46	0.99	0.00	20.72	0.08	21.16	0.12
6.37	0.96	0.00	23.41	0.09	25.24	0.19
7.27	0.83	0.01	26.52	0.09	32.45	0.27
8.18	0.58	0.01	30.04	0.10	41.27	0.27
9.09	0.28	0.01	33.97	0.11	47.86	0.22
10.00	0.08	0.01	38.31	0.12	50.09	0.19
10.91	0.02	0.00	43.07	0.12	50.16	0.20
11.82	0.00	0.00	48.24	0.13	50.02	0.20
12.73	0.00	0.00	53.82	0.14	50.00	0.20
13.64	0.00	0.00	59.82	0.15	50.00	0.20
14.55	0.00	0.00	66.23	0.16	50.00	0.20
15.46	0.00	0.00	73.06	0.17	50.00	0.20
16.37	0.00	0.00	80.35	0.18	49.90	0.20
17.28	0.00	0.00	88.01	0.18	49.90	0.20
